"DateTime","Dota 2","Counter-Strike: Global Offensive","Grand Theft Auto V","PLAYERUNKNOWN'S BATTLEGROUNDS","Destiny 2"
"2019-01-23 00:00:00",735642,619365,74310,929388
"2019-01-24 00:00:00",735486,612605,72371,891518
"2019-01-25 00:00:00",734448,644652,76901,884575
"2019-01-26 00:00:00",840712,682297,89756,935053
"2019-01-27 00:00:00",839729,668664,92903,947041
"2019-01-28 00:00:00",766446,603970,71408,875550
"2019-01-29 00:00:00",762357,621303,67401,787343
"2019-01-30 00:00:00",881256,622533,68021,797040
"2019-01-31 00:00:00",829519,621355,67127,800279
"2019-02-01 00:00:00",830562,628397,70863,793914
"2019-02-02 00:00:00",905794,651044,83079,809999
"2019-02-03 00:00:00",913496,656097,86818,787925
"2019-02-04 00:00:00",810070,593481,64041,558470
"2019-02-05 00:00:00",809825,571128,65559,662762
"2019-02-06 00:00:00",796298,570858,75627,690666
"2019-02-07 00:00:00",807572,571388,81759,709172
"2019-02-08 00:00:00",836728,607871,92488,747664
"2019-02-09 00:00:00",911025,630610,111122,804030
"2019-02-10 00:00:00",930430,614597,120401,852355
"2019-02-11 00:00:00",859462,543314,99552,835490
"2019-02-12 00:00:00",853919,543607,98819,845921
"2019-02-13 00:00:00",851888,554770,95530,858666
"2019-02-14 00:00:00",797211,533391,88416,801747
"2019-02-15 00:00:00",880281,614110,94309,891027
"2019-02-16 00:00:00",949294,635048,106145,923672
"2019-02-17 00:00:00",956229,620922,106793,931754
"2019-02-18 00:00:00",867809,572682,86066,893536
"2019-02-19 00:00:00",862613,545518,81523,845996
"2019-02-20 00:00:00",846470,559958,77388,859067
"2019-02-21 00:00:00",854303,545552,77758,871544
"2019-02-22 00:00:00",882742,603534,85482,882956
"2019-02-23 00:00:00",969099,624672,99399,915662
"2019-02-24 00:00:00",983435,609501,97235,891749
"2019-02-25 00:00:00",907124,548157,75269,830311
"2019-02-26 00:00:00",917479,541458,74805,833583
"2019-02-27 00:00:00",873952,552440,73861,759149
"2019-02-28 00:00:00",812740,552326,72787,816309
"2019-03-01 00:00:00",895799,608156,83538,869608
"2019-03-02 00:00:00",1000447,651158,102493,904021
"2019-03-03 00:00:00",1007840,636794,103019,855382
"2019-03-04 00:00:00",926692,605420,86444,791633
"2019-03-05 00:00:00",894932,606247,88877,796397
"2019-03-06 00:00:00",967011,591936,89350,787774
"2019-03-07 00:00:00",939457,611878,88524,786361
"2019-03-08 00:00:00",969484,616811,102086,830556
"2019-03-09 00:00:00",1045353,658309,117487,898360
"2019-03-10 00:00:00",1028866,634783,114480,836461
"2019-03-11 00:00:00",942503,565946,87998,791538
"2019-03-12 00:00:00",923610,560701,88505,783943
"2019-03-13 00:00:00",923760,562243,88367,785274
"2019-03-14 00:00:00",901416,614450,89763,800679
"2019-03-15 00:00:00",945718,651118,109990,860708
"2019-03-16 00:00:00",1025678,683952,126518,905999
"2019-03-17 00:00:00",1004180,655834,116589,860785
"2019-03-18 00:00:00",913647,580816,87856,795081
"2019-03-19 00:00:00",916534,569623,87219,792476
"2019-03-20 00:00:00",912918,574208,83937,784037
"2019-03-21 00:00:00",920142,576218,83151,796946
"2019-03-22 00:00:00",934521,623358,96851,870044
"2019-03-23 00:00:00",1014569,640328,109899,889884
"2019-03-24 00:00:00",1009405,650464,102912,856634
"2019-03-25 00:00:00",936503,583445,77781,773920
"2019-03-26 00:00:00",921362,591372,76156,766534
"2019-03-27 00:00:00",921260,589838,75187,773081
"2019-03-28 00:00:00",896612,578916,72930,843518
"2019-03-29 00:00:00",915183,601629,84411,913396
"2019-03-30 00:00:00",1008098,620057,94802,942933
"2019-03-31 00:00:00",1001512,631033,89773,911814
"2019-04-01 00:00:00",917982,562121,69371,839003
"2019-04-02 00:00:00",889058,565934,68659,831820
"2019-04-03 00:00:00",921478,560259,70237,854717
"2019-04-04 00:00:00",914394,565948,77531,899215
"2019-04-05 00:00:00",913854,602699,80357,864580
"2019-04-06 00:00:00",939918,603953,89540,847644
"2019-04-07 00:00:00",909135,617358,87174,857649
"2019-04-08 00:00:00",887825,558585,70683,801126
"2019-04-09 00:00:00",881145,549433,71656,816591
"2019-04-10 00:00:00",872107,551738,71017,780335
"2019-04-11 00:00:00",882437,559450,69982,809674
"2019-04-12 00:00:00",923065,603108,80816,870764
"2019-04-13 00:00:00",970128,622852,91679,896037
"2019-04-14 00:00:00",973544,616891,86794,855380
"2019-04-15 00:00:00",870901,547137,69862,794381
"2019-04-16 00:00:00",855360,547117,69196,736129
"2019-04-17 00:00:00",819524,541109,66549,736328
"2019-04-18 00:00:00",807477,529877,69013,745352
"2019-04-19 00:00:00",872612,576762,83456,815594
"2019-04-20 00:00:00",888837,574395,88057,839486
"2019-04-21 00:00:00",887397,541089,80596,800938
"2019-04-22 00:00:00",826748,537243,75190,792917
"2019-04-23 00:00:00",811503,524659,69399,770286
"2019-04-24 00:00:00",770558,515270,65489,717339
"2019-04-25 00:00:00",775576,501579,64123,762211
"2019-04-26 00:00:00",814209,534961,74092,809024
"2019-04-27 00:00:00",855899,553900,82206,824730
"2019-04-28 00:00:00",847379,583792,83951,829876
"2019-04-29 00:00:00",788959,507100,67084,782408
"2019-04-30 00:00:00",804627,553538,74306,825897
"2019-05-01 00:00:00",862674,568214,80039,799367
"2019-05-02 00:00:00",830932,543586,73211,768507
"2019-05-03 00:00:00",856221,561108,78337,811091
"2019-05-04 00:00:00",865134,582012,82804,807371
"2019-05-05 00:00:00",873126,592848,84701,824692
"2019-05-06 00:00:00",813985,511905,68094,787052
"2019-05-07 00:00:00",807138,512842,65860,785910
"2019-05-08 00:00:00",955703,537264,68156,790069
"2019-05-09 00:00:00",939011,501046,71463,753251
"2019-05-10 00:00:00",936283,530884,89073,791533
"2019-05-11 00:00:00",980303,573543,107670,822913
"2019-05-12 00:00:00",998345,564053,107025,784612
"2019-05-13 00:00:00",895150,507766,86411,734203
"2019-05-14 00:00:00",911511,509692,91906,736278
"2019-05-15 00:00:00",892241,505588,94219,737354
"2019-05-16 00:00:00",874040,492619,90745,727205
"2019-05-17 00:00:00",893273,545377,98892,762215
"2019-05-18 00:00:00",937824,581331,108887,820622
"2019-05-19 00:00:00",945542,578137,103043,787834
"2019-05-20 00:00:00",830790,504720,80044,694365
"2019-05-21 00:00:00",847257,507507,79074,722994
"2019-05-22 00:00:00",841685,518201,77092,727685
"2019-05-23 00:00:00",803108,517583,75964,680888
"2019-05-24 00:00:00",836468,560173,86103,754972
"2019-05-25 00:00:00",967668,584825,95844,786292
"2019-05-26 00:00:00",968356,581672,91236,759829
"2019-05-27 00:00:00",885373,530025,77700,719091
"2019-05-28 00:00:00",835459,531695,75684,704047
"2019-05-29 00:00:00",843244,535884,75079,702474
"2019-05-30 00:00:00",849432,562774,79856,709870
"2019-05-31 00:00:00",838052,573692,86192,747878
"2019-06-01 00:00:00",907341,585349,92609,747864
"2019-06-02 00:00:00",892370,585557,89457,732024
"2019-06-03 00:00:00",847614,526783,74987,686180
"2019-06-04 00:00:00",844176,516888,74834,692949
"2019-06-05 00:00:00",827650,526735,77138,710828
"2019-06-06 00:00:00",849344,542164,80320,713788
"2019-06-07 00:00:00",840206,538759,80930,704295
"2019-06-08 00:00:00",834862,568071,87551,740925
"2019-06-09 00:00:00",787469,582363,84351,723493
"2019-06-10 00:00:00",709731,564597,78400,707629
"2019-06-11 00:00:00",835854,546253,74717,697643
"2019-06-12 00:00:00",832380,540656,74343,693504
"2019-06-13 00:00:00",809154,552723,74605,694466
"2019-06-14 00:00:00",816393,567322,81905,716364
"2019-06-15 00:00:00",866759,587433,89901,749529
"2019-06-16 00:00:00",866252,591839,88725,730037
"2019-06-17 00:00:00",803370,550624,78441,690283
"2019-06-18 00:00:00",773032,547789,77071,672179
"2019-06-19 00:00:00",765997,561396,76637,663202
"2019-06-20 00:00:00",774571,577440,79964,675061
"2019-06-21 00:00:00",752859,574004,82552,699900
"2019-06-22 00:00:00",760403,581726,87685,726213
"2019-06-23 00:00:00",771918,588757,86553,709749
"2019-06-24 00:00:00",696686,552351,75740,666244
"2019-06-25 00:00:00",707293,553924,76697,673583
"2019-06-26 00:00:00",714491,549427,81763,739541
"2019-06-27 00:00:00",748680,547556,89560,699625
"2019-06-28 00:00:00",757165,546089,98158,729982
"2019-06-29 00:00:00",798466,547650,106623,735698
"2019-06-30 00:00:00",755943,545506,109417,710788
"2019-07-01 00:00:00",751474,537673,104429,668303
"2019-07-02 00:00:00",748632,528779,109307,688195
"2019-07-03 00:00:00",747757,529598,109935,689343
"2019-07-04 00:00:00",729977,524409,116477,686010
"2019-07-05 00:00:00",753374,539950,123870,692695
"2019-07-06 00:00:00",779160,542013,131047,716629
